Bus number: 2435, root cords: [55.787489, 49.122289]
[55.756147, 49.197993] 0.08193544153783106
[55.751847, 49.205492] 0.09051569683209527
[55.747777, 49.212175] 0.0982676749495993
[55.74541, 49.216467] 0.10315104422641577
[55.745352, 49.216573] 0.10327148408442346
[55.745337, 49.217692] 0.1043001606566339
[55.748758, 49.22405] 0.10888246636625713
[55.750068, 49.226485] 0.11071195805783142
[55.752933, 49.231047] 0.11411581704566182
[55.755852, 49.231588] 0.1137856369231206
[55.760105, 49.231558] 0.11264811501751532
[55.763025, 49.231683] 0.11209609507917268
[55.76662, 49.231785] 0.11146698693783692
[55.767695, 49.231718] 0.11120480419927732
[55.771398, 49.231817] 0.11070367231939295
[55.773397, 49.231763] 0.11037726731532933
[55.774405, 49.23177] 0.11026005812169222
[55.775372, 49.231758] 0.11013756693335594
[55.775833, 49.23175] 0.1100798476425144
[55.778028, 49.231578] 0.10969774857306483
[55.782367, 49.227335] 0.10517079917923429
[55.783495, 49.223635] 0.10142467033222186
[55.787532, 49.22451] 0.10222100904412959
[55.788975, 49.22472] 0.10244177837678885
[55.791698, 49.225962] 0.10375840500894414
[55.79237, 49.22972] 0.1075418240592915
[55.791627, 49.225823] 0.10361665985737623
[55.7872, 49.224367] 0.10207840910300157
[55.784427, 49.223523] 0.10128029719545457
[55.7826, 49.222182] 0.10001256806021372
[55.78531, 49.219077] 0.0968125249386634
[55.781002, 49.218943] 0.09687144514768102
[55.781642, 49.219813] 0.09769911967361847
[55.782232, 49.224475] 0.1023211348891284
[55.78014, 49.229487] 0.10744961146974558
[55.779085, 49.230532] 0.10856875363104615
[55.775632, 49.231612] 0.1099641158651274
[55.771973, 49.231543] 0.11035027309436045
[55.769637, 49.231522] 0.11068216745708893
[55.768108, 49.231465] 0.11088292085348248
[55.765982, 49.231442] 0.1112516447428972
[55.762673, 49.231503] 0.1119979091411926
[55.76137, 49.231452] 0.11224421022929881
[55.758122, 49.231265] 0.11286358697560382
[55.75419, 49.231183] 0.1138715356750748
[55.75183, 49.229223] 0.11272286652227756
[55.749817, 49.22574] 0.1100967255870945
[55.749055, 49.224388] 0.10909343773572844
[55.74625, 49.219157] 0.10528088404359028
[55.745552, 49.217808] 0.10431965936485312
[55.74766, 49.213275] 0.09932170677651468
[55.750168, 49.208872] 0.09428400145305378
[55.753908, 49.202537] 0.08699094817852866
[55.757167, 49.197037] 0.0806640390012788
[55.759757, 49.192597] 0.0755796182049077
[55.760052, 49.192115] 0.07502305808882904
[55.76292, 49.187125] 0.06933500311530921
[55.765188, 49.183623] 0.06526250192108288
[55.765795, 49.182367] 0.06387484418767549
[55.767638, 49.17905] 0.06013213219236023
[55.76828, 49.178533] 0.05943377168748491
[55.76828, 49.178533] 0.05943377168748491
[55.76884, 49.178083] 0.05882818743595619
[55.769158, 49.177777] 0.05843751966844399
[55.769847, 49.177245] 0.057718299524498806
[55.770772, 49.176263] 0.05650354648161151
[55.77441, 49.175195] 0.054498670414973895
[55.77946, 49.172667] 0.05101379935859999
[55.77987, 49.172335] 0.050622636013935934
[55.782793, 49.170933] 0.04887014581520734
[55.786517, 49.17123] 0.04895065132355156
[55.787345, 49.169567] 0.04727821929810668
[55.787225, 49.160327] 0.03803891612546313
[55.787508, 49.158058] 0.0357690050462636
[55.788015, 49.152905] 0.03062051815367739
[55.78814, 49.151932] 0.02965014755443895
[55.791183, 49.15284] 0.030773515187571567
[55.793782, 49.154703] 0.03301922538461064
[55.793905, 49.155093] 0.033425551184684085
[55.793578, 49.15553] 0.03379408235179249
[55.793063, 49.155703] 0.03387572688519002
[55.792718, 49.155698] 0.03381573187142231
[55.793083, 49.149978] 0.028248425743742908
[55.794467, 49.143547] 0.022373981496367216
[55.795242, 49.136478] 0.01616900522604482
[55.795592, 49.132667] 0.013166681168764084
[55.79613, 49.126697] 0.009700378600855448
[55.795582, 49.125457] 0.008690965021216426
[55.794815, 49.125195] 0.0078813141036227
[55.793302, 49.124965] 0.006399370672180376
[55.79012, 49.124567] 0.003480150140438022
[55.788372, 49.123562] 0.0015492636960818074
[55.787205, 49.121853] 5.203383514606891E-4
[55.7865, 49.120955] 0.001660625484571406
[55.783967, 49.11753] 0.005920520669673096
[55.783257, 49.116515] 0.007158833703896378
[55.783145, 49.114885] 0.008584261878580128
[55.784452, 49.11332] 0.00946923069736937
[55.785855, 49.111612] 0.010801309411364618
[55.78611, 49.111285] 0.01109007019815454
[55.786785, 49.110375] 0.011934781606720077
[55.787552, 49.109605] 0.012684156455988832
[55.789217, 49.107575] 0.014815119979269388
[55.789548, 49.105368] 0.01704581244764033
[55.788545, 49.103558] 0.018760743508722946
[55.788788, 49.102147] 0.020183844158137586
[55.790032, 49.100995] 0.021445309160750603
[55.793528, 49.096713] 0.0262792940734728
[55.795795, 49.092452] 0.030971538628230783
[55.79717, 49.084247] 0.03925449687615854
[55.800572, 49.070863] 0.053064096760427136
[55.799955, 49.068065] 0.055638505839036005
[55.799333, 49.063355] 0.06011236721341124
[55.798638, 49.057588] 0.06565454745864785
[55.797695, 49.049748] 0.0732554374568884
[55.798788, 49.040163] 0.08289962169395233
[55.799735, 49.033745] 0.08938682482334706
[55.800177, 49.026513] 0.09661277099845586
[55.800597, 49.017295] 0.10580907191730347
[55.800895, 49.009397] 0.11368519912460195
[55.801177, 49.007752] 0.11535200784121498
[55.800583, 49.015805] 0.10728604332344652
[55.800415, 49.021637] 0.10147860158674221
[55.79968, 49.03317] 0.08994896687567176
[55.798278, 49.041822] 0.08118707169247978
[55.798278, 49.041822] 0.08118707169247978
[55.798562, 49.057455] 0.06577278225071923
[55.798815, 49.059865] 0.063443156069035
[55.799732, 49.067425] 0.0562134285113457
[55.79994, 49.07194] 0.051865684243056015
[55.797707, 49.08012] 0.043389308418090064
[55.794192, 49.095445] 0.027668222657052655
[55.790637, 49.099997] 0.022513177652210347
[55.789803, 49.101053] 0.021361701523990764
[55.78965, 49.101187] 0.02121236255111544
[55.788468, 49.102487] 0.01982618584095146
[55.788445, 49.103297] 0.019016045856070314
[55.790188, 49.106232] 0.016282255679116224
[55.789213, 49.107505] 0.014884180595516506
[55.787775, 49.109232] 0.013060131890608572
[55.787277, 49.109797] 0.012493798781797396
[55.785493, 49.111918] 0.010561328372888404
[55.783307, 49.11463] 0.00872636264431293
[55.78275, 49.11617] 0.007739527246548836
[55.78345, 49.117078] 0.006593029804271996
[55.783848, 49.117575] 0.005956397988718676
[55.784062, 49.117875] 0.00558817725202509
[55.785432, 49.11972] 0.003291049984428764
[55.786877, 49.122192] 6.196394112751584E-4
[55.787567, 49.123082] 7.968268318722584E-4
[55.791195, 49.124738] 0.004442075753518983
[55.793887, 49.125122] 0.006997163210897594
[55.79418, 49.125205] 0.0072988038061004784
[55.79405, 49.129085] 0.009446286942497027
